Producto a granel,Peso,Precio
Almendras,100 gr,"$ 1200,00"
Arándanos en pasas,100 gr,"$ 880,00"
Castañas de cajú,100 gr,"$ 1200,00"
Ciruelas,100 gr,"$ 250,00"
Dátiles,100 gr,
Granola crocante con semillas,100 gr,"$ 250,00"
Granola energética,100 gr,"$ 250,00"
Granola premium,100 gr,"$ 280,00"
Maní cervecero,100gr,$250.00
Mani con sal,100 gr,$150
Maní japonés,100 gr,"$ 550,00"
Mani sin sal,100 gr,"$ 150,00"
Mix Europeo,100gr,"$ 500,00"
Mix frutos secos premium,100 gr,"$ 750,00"
Mix frutos secos tropical,100 gr,"$ 520,00"
Nueces en cuartos/ mariposa,100 gr,"$ 770,00"
Pasas de uva negras,100 gr,$200.00
Pasas de uva rubias,100 gr,"$ 180,00"
Arroz Doble Carolina,1kg,"$ 760,00"
Arroz Integral,1kg,"$ 630,00"
Arroz Yamani Blanco,1kg,"$ 800,00"
Arroz Yamani Integral,1kg,"$ 720,00"
Arvejas enteras,1 kg,"$ 820,00"
Arvejas partidas,1 kg,"$ 990,00"
Avena instantanea,1kg,"$ 1100,00"
Garbanzos,1kg,"$ 1.090,00"
Lentejas,1kg,"$ 1.300,00"
Lentejón,1kg,"$ 1.500,00"
Lentejas turcas,1kg,"$ 2.500,00"
Maíz pisingallo,1kg,"$ 600,00"
Porotos Aduki,1kg,"$ 900,00"
Porotos Alubia,1kg,"$ 1.000,00"
Porotos Colorados,1kg,"$ 950,00"
Porotos de Soja,1kg,"$ 580,00"
Porotos Mung,1kg,"$ 710,00"
Porotos Negros,1kg,"$ 800,00"
Porotos Regina,1kg,"$ 1.300,00"
Amargón,100gr,"$ 340,00"
Boldo,100gr,"$ 860,00"
Burrito,100gr,"$ 600,00"
Cedrón,100gr,"$ 700,00"
Cola de Caballo,100gr,"$ 330,00"
Maca ,100gr,$620
Malva,100gr,"$ 450,00"
Manzanilla,100gr,"$ 900,00"
Melisa,100gr,"$ 380,00"
Menta Peperina,100gr,"$ 550,00"
Moringa,100gr,"$ 1000,00"
Stevia en hojas,100gr,"$ 690,00"
Té negro,100gr,"$ 200,00"
Té rojo,100gr,"$ 200,00"
Té verde,100gr,$200.00
Zen en hojas,100gr,"$ 380,00"
Adobo pizza,100gr,"$ 360,00"
Aji molido,100gr,"$ 390,00"
Ajo en polvo,100gr,"$ 640,00"
Ajo granulado,100gr,"$ 880,00"
Albahaca deshidratada,100gr,"$ 550,00"
Amapola,100gr,"$ 850,00"
Anís,100gr,"$ 580,00"
Cebolla deshidratada,100gr,"$ 910,00"
Cebolla en polvo,100gr,"$ 860,00"
Chía,100gr,"$ 500,00"
Chimichurri,100gr,"$ 370,00"
Clavo de olor,10 gr,$350
Cúrcuma,100gr,"$ 830,00"
Comino molido,100 gr,"$ 1.800,00"
Curry,100gr,"$ 560,00"
Estragón,100 gr,"$ 370,00"
Girasol,100gr,"$ 140,00"
Jengibre molido,100 gr,"$ 680,00"
Laurel,100gr,"$ 480,00"
Lino,100gr,"$ 80,00"
Maca,100gr,$620
Maiz frito,100 gr,$700
Mix de semillas,100gr,"$ 190,00"
Mostaza en granos,100gr,"$ 390,00"
Mostaza molida,100gr,"$ 400,00"
Nuez moscada molida,100gr,"$ 1.680,00"
Orégano,100gr,"$ 370,00"
Perejil,100gr,"$ 500,00"
Pimentón ahumado,100gr,"$ 690,00"
Pimentón dulce,100gr,"$ 600,00"
Pimienta Blanca molida,100gr,"$ 1.600,00"
Pimienta Negra molida,100gr,"$ 850,00"
Provenzal,100gr,"$ 720,00"
Quinoa,100gr,"$530,00"
Quinoa Roja,100gr,"$ 480,00"
Romero,100gr,"$ 500,00"
Semillas de zapallo,100gr,"$ 690,00"
Sésamo blanco,100gr,"$ 460,00"
Sésamo integral,100gr,"$ 180,00"
Sésamo negro,100gr,"$ 430,00"
Tomillo,100gr,"$ 470,00"
Almendras con chocolate semi,100 gr,"$ 840,00"
Amaranto,100gr,"$ 200,00"
Azúcar impalpable,1 kg,"$ 1.750,00"
Azúcar mascabo,1 kg,"$ 1.370,00"
Azúcar negra,1 kg,"$ 1.700,00"
Azúcar Rubia,1kg,"$ 1.700,00"
Barritas Águila Blanco,100gr,"$ 500,00"
Barritas Águila Negro,100gr,"$ 500,00"
Bicarbonato de sodio,100gr,"$ 200,00"
Cacao Amargo,100gr,"$ 590,00"
Cacao Dulce,100gr,"$ 280,00"
Canela molida,100gr,"$ 1000,00"
Canela en rama,25gr,"$ 730,00"
Chips chocolate blanco,100gr,"$ 290,00"
Chips chocolate semiamargo,100gr,"$ 360,00"
Coco en escamas,100 gr,"$ 840,00"
Coco rallado,100gr,"$ 420,00"
Maní con chocolate,100gr,"$ 460,00"
Mani crocante,100gr,"$320,00"
Pasas con chocolate,100gr,"$ 440,00"
Polvo de hornear,100gr,"$ 440,00"
Rocklets,100gr,"$ 520,00"
Almohaditas choco negro,100 gr,"$ 300,00"
Almohaditas frutilla,100 gr,"$ 300,00"
Almohaditas limón,100 gr,"$ 300,00"
Almohaditas maní,100 gr,"$ 300,00"
Almohaditas avellana ,100 gr,"$ 300,00"
Almohaditas sin relleno,100 gr,"$ 300,00"
Aritos frutales,100 gr,"$ 250,00"
Arroz inflado,100 gr,"$ 250,00"
Bolitas de chocolate,100 gr,"$ 250,00"
Chips de banana,100 gr,"$ 620,00"
Copos con Azúcar,100 gr,"$ 250,00"
Copos con miel,100 gr,"$250,00"
Copos sin azúcar,100 gr,"$ 250,00"
Fibra,100 gr,"$ 200,00"
Ositos chocolate,100 gr,"$ 220,00"
Quinoa pop,100 gr,"$ 280,00"
Tutucas,100 gr,"$ 250,00"
